y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.0,2.444,-2.329,1.478,-0.728,-1.175,-4.542,-0.581,1.265,0.702,1.354,-1.273,3.469,1.151,-2.121,-1.229,4.518,1.318,-0.253,2.79,3.519
1.0,-0.584,1.923,4.892,-0.281,-2.749,0.955,-3.017,-1.15,3.13,1.612,-4.394,-2.225,0.792,-1.083,-2.672,0.759,1.118,-0.069,6.413,-1.608
2.0,-2.587,1.851,-0.028,-4.569,-2.763,-0.18,1.691,-3.493,-1.696,1.676,-4.444,2.828,0.271,0.108,0.154,0.671,-0.467,-1.908,3.769,-2.186
2.0,-1.636,-3.572,0.762,3.204,-1.6,1.858,-1.008,0.048,-0.542,0.628,-1.989,1.996,2.036,-2.919,-1.34,-0.439,-3.588,3.394,-4.559,-2.682
1.0,-5.34,-0.343,0.214,2.86,3.361,1.407,0.876,-1.661,0.981,6.094,-0.308,-4.621,-2.182,0.678,-1.543,0.617,0.191,-3.409,1.294,-0.45
2.0,3.744,-1.094,2.053,-0.299,2.314,-0.989,-4.017,2.545,0.34,4.022,4.093,-1.914,1.456,-0.534,2.327,0.835,-1.438,0.369,2.896,3.555
0.0,-3.585,6.685,-0.41,-4.266,2.44,1.619,-0.136,-2.728,1.96,2.806,-4.072,-0.732,-0.009,-0.735,-0.036,-3.235,-2.488,5.931,-1.97,0.13
2.0,-1.28,-1.333,-1.599,-5.406,-3.252,0.758,-4.222,-4.001,-1.054,-4.112,-1.977,1.804,-1.383,3.259,0.219,-8.805,-3.084,-2.886,-3.0,0.975
1.0,-3.034,-0.357,0.681,0.314,-0.855,-2.131,-3.07,2.705,2.522,-1.879,-2.085,-2.712,3.394,2.274,-2.414,-0.098,-0.943,-2.786,1.56,3.21
1.0,0.318,2.808,5.145,3.435,4.841,-5.842,-4.931,-4.483,-0.37,-3.194,-0.685,-2.462,0.42,2.645,-3.771,-2.46,1.713,0.307,3.366,1.507
1.0,0.45,-0.722,3.563,-1.339,-0.973,-1.205,-6.126,2.312,1.45,-4.901,0.064,-0.514,2.014,-2.63,-0.976,0.768,1.663,3.915,6.133,-3.607
0.0,6.26,-5.789,-6.225,-0.069,-1.189,-7.668,-9.688,4.819,-4.668,3.812,2.983,5.052,-0.195,2.005,-0.13,3.092,3.896,4.52,3.293,3.209
1.0,0.328,3.941,-2.919,0.435,-2.872,-1.624,1.08,0.857,1.18,-2.295,0.765,-1.028,3.239,4.412,1.042,2.333,-2.518,4.713,-0.727,3.08
2.0,-0.836,-3.793,4.738,-0.887,-1.572,-1.016,-3.837,-0.962,4.008,-7.306,1.219,1.252,-1.057,-0.823,3.624,-0.493,-0.803,-4.431,3.357,-1.909
0.0,-0.63,-2.374,-4.233,-2.075,2.827,1.114,-4.068,-4.493,-2.688,5.527,-0.189,1.416,-1.287,-1.555,1.471,-2.777,1.392,-3.421,0.669,3.212
2.0,-0.519,-3.713,1.643,-4.318,1.0,-1.968,3.457,-2.009,-0.417,3.074,-0.622,3.408,-4.443,-1.636,0.099,7.561,0.133,-3.555,2.192,1.214
0.0,-2.316,-3.878,0.78,-1.373,3.476,1.805,1.265,-0.991,-0.714,-1.847,4.768,-5.697,-3.426,-0.931,1.522,-1.946,1.635,-2.793,3.084,4.36
1.0,1.945,1.973,4.154,-0.832,2.057,-3.926,-2.705,-1.276,-3.389,-2.543,-3.431,3.677,-0.587,1.052,-5.313,0.32,-1.899,-2.57,0.896,1.829
0.0,0.829,-3.369,2.433,-1.287,1.433,-4.203,0.235,3.199,-0.826,0.999,3.62,-3.721,-4.07,-2.832,0.561,4.378,2.713,-4.159,1.438,2.508
2.0,-0.037,-1.862,2.975,1.263,-1.512,-4.633,-9.912,1.492,1.606,-3.226,-4.862,-1.728,0.208,1.61,-1.187,-8.862,-0.531,-1.807,1.754,-3.49
1.0,-3.521,0.859,-1.67,2.738,2.894,4.227,-2.476,1.062,-0.342,-1.232,-2.692,-6.485,-3.213,3.02,-1.309,-1.035,-1.617,-3.995,-0.638,3.778
1.0,-3.59,-0.216,4.879,-1.233,1.889,-3.202,-3.175,-0.178,3.364,-3.264,2.156,-4.474,0.332,-0.046,-6.504,2.401,0.12,0.782,1.279,3.767
2.0,2.7,-3.342,5.688,-3.602,-4.857,-0.085,-0.874,-3.861,-4.033,-3.069,2.318,1.618,-0.999,2.292,0.821,0.798,-1.207,-3.483,-1.162,7.393
2.0,-0.056,-1.589,1.352,3.563,-1.355,7.755,0.576,-0.876,-3.469,1.482,-6.737,5.648,-0.841,-6.125,-7.087,4.344,2.866,-2.307,-0.718,3.705
1.0,-3.876,0.373,2.213,-2.961,0.798,0.694,-3.448,-0.803,2.389,-1.974,-0.179,-3.125,-0.967,-2.052,-6.676,-1.783,-2.125,-4.212,0.554,2.525
0.0,0.267,-2.407,1.339,-3.92,3.08,-1.785,-2.962,0.627,-4.276,1.802,-1.46,-2.094,-0.453,0.457,-1.466,4.583,3.1,-0.45,2.978,0.946
0.0,2.463,-4.872,-3.14,0.241,-0.27,-3.006,-1.8,3.967,-0.193,-1.924,6.874,-2.631,-5.299,0.3,3.711,5.094,4.693,4.3,0.88,4.528
0.0,-1.921,-1.211,-4.255,3.104,1.917,-3.56,2.708,-5.642,5.302,-2.39,2.3,1.266,2.133,2.536,1.624,1.487,-1.127,-1.672,-0.335,1.477
0.0,-0.276,1.405,-1.664,2.452,-1.265,0.803,-0.895,-3.5,1.215,3.903,-0.16,0.562,-0.246,1.789,-0.288,-2.557,-1.971,0.729,-2.02,0.78
1.0,1.937,3.637,-0.397,-2.263,-3.313,-2.798,0.596,-1.425,0.866,-1.505,-0.505,-1.492,1.356,3.383,-1.092,3.311,-2.343,3.377,5.856,3.205
0.0,4.172,-4.836,-6.535,2.245,-0.658,-2.264,-1.145,-3.46,0.047,1.414,5.841,-2.062,-1.518,-0.732,2.99,-1.026,0.706,-3.065,1.838,1.467
2.0,0.949,-1.09,0.425,-3.632,-1.411,-0.753,2.97,-3.804,0.012,2.28,1.75,-2.236,-2.517,0.049,0.782,0.002,0.177,-1.554,1.321,0.679
2.0,1.321,-6.122,0.568,-1.343,-1.93,1.867,5.964,-3.759,-0.97,-2.407,3.0,-1.457,-3.971,-0.91,2.85,3.932,-3.279,-6.026,-1.324,2.957
0.0,5.27,-2.486,-4.581,2.155,-2.977,1.22,-2.51,6.286,-2.774,-0.859,-1.094,2.228,-2.867,0.552,-4.401,2.424,1.758,4.2,-0.841,4.757
1.0,1.792,3.523,5.038,2.747,-0.364,-0.442,-2.14,7.942,1.207,-2.946,-4.561,-5.387,-1.534,4.059,-3.532,0.074,5.345,-0.632,5.656,3.754
1.0,1.086,-1.494,4.393,4.726,0.573,-1.776,-3.242,2.898,-0.572,1.138,-0.972,-1.669,-0.454,-1.356,-0.098,1.128,1.12,0.437,0.623,-4.064
0.0,3.258,-6.031,-3.779,-1.627,3.029,0.794,0.098,-1.319,-2.963,-0.552,-0.739,2.767,3.711,1.733,-4.707,3.015,-1.59,0.807,-0.274,0.147
0.0,-4.348,7.119,-0.44,-4.158,3.534,2.231,-0.844,0.445,2.398,2.15,-3.28,4.966,0.389,-0.483,-0.535,-3.913,-4.216,1.886,-2.283,-0.734
0.0,1.178,-2.041,-1.191,-1.797,-0.895,-2.097,-0.887,7.66,1.055,-0.759,5.794,-2.814,-4.287,-5.448,-5.065,6.516,5.773,-3.291,4.601,4.498
0.0,-4.399,-0.582,0.713,-6.852,0.144,-1.357,1.284,1.257,0.951,0.378,-0.291,0.185,2.035,-1.234,-8.295,6.262,4.24,-1.941,4.814,2.012
2.0,-5.802,-2.035,3.896,-1.849,-1.099,-1.072,-3.949,3.768,-0.3,-5.552,-3.184,1.481,-0.354,-3.444,-1.213,-1.533,0.295,-2.771,-1.458,-0.657
